player_id,player_name,game_year,play_type,passing_yards_gained,receiving_yards_gained,rushing_yards_gained
00-0000108,D.Akers,2012,pass,14,,
00-0000865,C.Batch,2009,pass,17,,
00-0000865,C.Batch,2010,pass,331,,
00-0000865,C.Batch,2011,pass,198,,
00-0000865,C.Batch,2012,pass,463,,
00-0001545,T.Bouman,2010,pass,216,,
00-0002110,M.Brunell,2009,pass,-9,,
00-0002110,M.Brunell,2010,pass,109,,
00-0002110,M.Brunell,2011,pass,130,,
00-0003292,K.Collins,2009,pass,1188,,
00-0003292,K.Collins,2010,pass,1444,,
00-0003292,K.Collins,2011,pass,731,,
00-0003315,T.Collins,2009,pass,132,,
00-0003315,T.Collins,2010,pass,53,,
00-0003739,D.Culpepper,2009,pass,589,,
00-0003739,D.Culpepper,2010,pass,249,,
00-0004091,P.Dawson,2009,pass,10,,
00-0004161,J.Delhomme,2009,pass,1830,,
00-0004161,J.Delhomme,2010,pass,838,,
00-0004161,J.Delhomme,2012,pass,193,,
00-0005106,B.Favre,2009,pass,3639,,
00-0005106,B.Favre,2010,pass,2686,,
00-0005113,J.Feagles,2009,pass,0,,
00-0007091,M.Hasselbeck,2009,pass,2668,,
00-0007091,M.Hasselbeck,2010,pass,2976,,
00-0007091,M.Hasselbeck,2011,pass,3143,,
00-0007091,M.Hasselbeck,2012,pass,1535,,
00-0007091,M.Hasselbeck,2013,pass,130,,
00-0007091,M.Hasselbeck,2014,pass,294,,
00-0007091,M.Hasselbeck,2015,pass,1589,,
00-0008484,D.Johnson,2009,pass,0,,
00-0009311,J.Kitna,2010,pass,2266,,
00-0009311,J.Kitna,2011,pass,87,,
00-0010346,P.Manning,2009,pass,4331,,
00-0010346,P.Manning,2010,pass,4447,,
00-0010346,P.Manning,2011,pass,257,,
00-0010346,P.Manning,2012,pass,4532,,
00-0010346,P.Manning,2013,pass,5357,,
00-0010346,P.Manning,2014,pass,4613,,
00-0010346,P.Manning,2015,pass,2085,,
00-0010346,P.Manning,2016,pass,69,,
00-0010609,B.Maynard,2009,pass,0,,
00-0011022,D.McNabb,2009,pass,3101,,
00-0011022,D.McNabb,2010,pass,3297,,
00-0011022,D.McNabb,2011,pass,913,,
00-0011626,B.Moorman,2009,pass,25,,
00-0015194,H.Smith,2009,pass,35,,
00-0017200,K.Warner,2009,pass,3555,,
00-0017200,K.Warner,2010,pass,31,,
00-0017915,R.Williams,2009,pass,0,,
00-0019041,B.Volek,2009,pass,15,,
00-0019041,B.Volek,2010,pass,223,,
00-0019310,R.Lindell,2012,pass,0,,
00-0019559,C.Pennington,2009,pass,381,,
00-0019559,C.Pennington,2010,pass,19,,
00-0019596,T.Brady,2009,pass,4132,,
00-0019596,T.Brady,2010,pass,3708,,
00-0019596,T.Brady,2011,pass,4945,,
00-0019596,T.Brady,2012,pass,4937,,
00-0019596,T.Brady,2013,pass,4086,,
00-0019596,T.Brady,2014,pass,3975,,
00-0019596,T.Brady,2015,pass,4425,,
00-0019596,T.Brady,2016,pass,3311,,
00-0019596,T.Brady,2017,pass,4630,,
00-0019596,T.Brady,2018,pass,4078,,
00-0019599,M.Bulger,2009,pass,1384,,
00-0019709,C.Redman,2009,pass,747,,
00-0019709,C.Redman,2011,pass,137,,
00-0019709,C.Redman,2012,pass,71,,
00-0019714,S.Lechler,2011,pass,35,,
00-0019714,S.Lechler,2012,pass,4,,
00-0019714,S.Lechler,2014,pass,10,,
00-0020245,M.Vick,2009,pass,86,,
00-0020245,M.Vick,2010,pass,2809,,
00-0020245,M.Vick,2011,pass,2862,,
00-0020245,M.Vick,2012,pass,2512,,
00-0020245,M.Vick,2013,pass,1132,,
00-0020245,M.Vick,2014,pass,519,,
00-0020245,M.Vick,2015,pass,318,,
00-0020305,A.Feeley,2011,pass,476,,
00-0020397,C.Ochocinco,2010,pass,0,,
00-0020498,R.Wayne,2009,pass,0,,
00-0020531,D.Brees,2009,pass,4253,,
00-0020531,D.Brees,2010,pass,4256,,
00-0020531,D.Brees,2011,pass,5408,,
00-0020531,D.Brees,2012,pass,5376,,
00-0020531,D.Brees,2013,pass,4893,,
00-0020531,D.Brees,2014,pass,4766,,
00-0020531,D.Brees,2015,pass,4320,,
00-0020531,D.Brees,2016,pass,5005,,
00-0020531,D.Brees,2017,pass,4534,,
00-0020531,D.Brees,2018,pass,3825,,
00-0020536,L.Tomlinson,2009,pass,0,,
00-0020536,L.Tomlinson,2011,pass,-2,,
00-0020608,D.Carr,2009,pass,188,,
00-0020608,D.Carr,2010,pass,88,,
00-0020608,D.Carr,2012,pass,13,,
00-0020679,S.Hill,2009,pass,836,,
00-0020679,S.Hill,2014,pass,1541,,
00-0020679,S.Hill,2015,pass,4,,
00-0020679,S.Hill,2016,pass,235,,
00-0020679,S.Hill,2017,pass,0,,
00-0020679,Sh.Hill,2010,pass,2346,,
00-0020679,Sh.Hill,2011,pass,283,,
00-0020679,Sh.Hill,2012,pass,172,,
00-0020679,Shaun.Hill,2010,pass,12,,
00-0021179,C.Portis,2009,pass,0,,
00-0021190,A.Randle El,2009,pass,-11,,
00-0021190,A.Randle El,2010,pass,39,,
00-0021190,A.Randle El,2011,pass,3,,
00-0021206,J.McCown,2009,pass,-4,,
00-0021206,J.McCown,2011,pass,254,,
00-0021206,J.McCown,2012,pass,117,,
00-0021206,J.McCown,2013,pass,1794,,
00-0021206,J.McCown,2014,pass,1971,,
00-0021206,J.McCown,2015,pass,1976,,
00-0021206,J.McCown,2016,pass,691,,
00-0021206,J.McCown,2017,pass,2662,,
00-0021206,J.McCown,2018,pass,620,,
00-0021216,B.Westbrook,2009,pass,0,,
00-0021231,D.Garrard,2009,pass,3169,,
00-0021231,D.Garrard,2010,pass,2680,,
00-0021296,J.O'Sullivan,2009,pass,9,,
00-0021296,J.O'Sullivan,2010,pass,0,,
00-0021429,C.Palmer,2009,pass,2883,,
00-0021429,C.Palmer,2010,pass,3481,,
00-0021429,C.Palmer,2011,pass,2520,,
00-0021429,C.Palmer,2012,pass,4240,,
00-0021429,C.Palmer,2013,pass,3985,,
00-0021429,C.Palmer,2014,pass,1567,,
00-0021429,C.Palmer,2015,pass,4391,,
00-0021429,C.Palmer,2016,pass,3835,,
00-0021429,C.Palmer,2017,pass,2071,,
00-0021488,M.McBriar,2013,pass,30,,
00-0021678,T.Romo,2009,pass,3992,,
00-0021678,T.Romo,2010,pass,1850,,
00-0021678,T.Romo,2011,pass,3706,,
00-0021678,T.Romo,2012,pass,4893,,
00-0021678,T.Romo,2013,pass,3572,,
00-0021678,T.Romo,2014,pass,3474,,
00-0021678,T.Romo,2015,pass,849,,
00-0021678,T.Romo,2017,pass,29,,
00-0021755,E.Graham,2010,pass,2,,
00-0021940,Josh.Brown,2009,pass,36,,
00-0022005,C.Simms,2009,pass,-16,,
00-0022017,M.Scifres,2010,pass,28,,
00-0022055,S.Wallace,2009,pass,624,,
00-0022055,S.Wallace,2010,pass,662,,
00-0022055,S.Wallace,2011,pass,370,,
00-0022055,S.Wallace,2012,pass,168,,
00-0022055,S.Wallace,2013,pass,114,,
00-0022084,A.Boldin,2010,pass,-6,,
00-0022084,A.Boldin,2014,pass,0,,
00-0022092,C.Brown,2009,pass,0,,
00-0022097,B.Lloyd,2011,pass,0,,
00-0022101,B.St. Pierre,2010,pass,162,,
00-0022101,B.St. Pierre (3rd QB),2010,pass,0,,
00-0022121,R.Grossman,2009,pass,33,,
00-0022121,R.Grossman,2010,pass,493,,
00-0022121,R.Grossman,2011,pass,3018,,
00-0022121,R.Grossman,2012,pass,247,,
00-0022164,K.Boller,2009,pass,785,,
00-0022164,K.Boller,2010,pass,31,,
00-0022164,K.Boller,2011,pass,141,,
00-0022177,B.Leftwich,2009,pass,594,,
00-0022177,B.Leftwich,2011,pass,35,,
00-0022177,B.Leftwich,2012,pass,250,,
00-0022217,M.Moore,2009,pass,6,,
00-0022725,M.Clayton,2009,pass,0,,
00-0022766,P.Crayton,2010,pass,0,,
00-0022787,M.Schaub,2009,pass,4324,,
00-0022787,M.Schaub,2010,pass,4187,,
00-0022787,M.Schaub,2011,pass,2634,,
00-0022787,M.Schaub,2012,pass,3792,,
00-0022787,M.Schaub,2013,pass,2148,,
00-0022787,M.Schaub,2014,pass,33,,
00-0022787,M.Schaub,2015,pass,513,,
00-0022787,M.Schaub,2016,pass,16,,
00-0022787,M.Schaub,2018,pass,20,,
00-0022803,E.Manning,2009,pass,3685,,
00-0022803,E.Manning,2010,pass,3762,,
00-0022803,E.Manning,2011,pass,4623,,
00-0022803,E.Manning,2012,pass,3814,,
00-0022803,E.Manning,2013,pass,3537,,
00-0022803,E.Manning,2014,pass,4223,,
00-0022803,E.Manning,2015,pass,3985,,
00-0022803,E.Manning,2016,pass,3814,,
00-0022803,E.Manning,2017,pass,3450,,
00-0022803,E.Manning,2018,pass,3518,,
00-0022824,A.Lee,2014,pass,0,,
00-0022864,L.McCown,2009,pass,-5,,
00-0022864,L.McCown,2010,pass,120,,
00-0022864,L.McCown,2011,pass,258,,
00-0022864,L.McCown,2013,pass,0,,
00-0022864,L.McCown,2015,pass,335,,
00-0022912,J.Losman,2009,pass,0,,
00-0022912,J.Losman,2011,pass,22,,
00-0022921,L.Fitzgerald,2013,pass,0,,
00-0022921,L.Fitzgerald,2016,pass,0,,
00-0022921,L.Fitzgerald,2017,pass,21,,
00-0022924,B.Roethlisberger,2009,pass,3779,,
00-0022924,B.Roethlisberger,2010,pass,2900,,
00-0022924,B.Roethlisberger,2011,pass,3889,,
00-0022924,B.Roethlisberger,2012,pass,3271,,
00-0022924,B.Roethlisberger,2013,pass,3654,,
00-0022924,B.Roethlisberger,2014,pass,4771,,
00-0022924,B.Roethlisberger,2015,pass,3455,,
00-0022924,B.Roethlisberger,2016,pass,4030,,
00-0022924,B.Roethlisberger,2017,pass,4124,,
00-0022924,B.Roethlisberger,2018,pass,4649,,
